plugin name,active installations
Social Media Auto Publish,10000
Locations,2000
Contact Form 7 Salesmate Integration,10
PilotPress,4000
Our Team Showcase,10000
Post Slider For WPBakery Page Builder (formerly Visual Composer),1000
Postcodes4U Address Finder,100
Contact Form 7 Goal Tracking Extension,100
Contact Form 7 Email Add on,10
Appointments,7000
WP Cloudy,10000
AppPresser – Mobile App Framework,4000
CarDealer,400
ReDi Restaurant Reservation,1000
Inline Tweet Sharer – Twitter Sharing Plugin,1000
Image Gallery – Photo Albums Plugin,10000
Video Conferencing with Zoom API,1000
"WpDevArt YouTube Embed, Playlist and Popup",10000
Youtube SpeedLoad,1000
Content Locker,1000
Mailgun Email Validator,500
Logo Slider WP,7000
Smart Product Gallery Slider,700
"Business Manager – HR, ERP & Projects",300
Simple Drop Cap,7000
Mautic WooCommerce Integration – Open Source Marketing Automation,60
Formilla Edge Targeted Messaging Platform for Sales and Marketing,200
Affiliates,6000
Birds Custom Login,10000
Plugin Security Scanner,8000
Caldera Forms styler for Elementor Page Builder,5000
Contact Information,50
Suppliers Manager for Woocommerce,100
Block Temporary Email,100
Tockify Events Calendar,4000
WP Twilio Core,5000
WP SES,10000
Slightly troublesome permalink,900
Form Styles For Contact Form 7,400
Never Loose Contact Form,10
Contact Form with Ajax,10
Spider Video Player,10000
JM Twitter Cards,10000
Wp Theme plugin Download,3000
Multi-language Responsive Contact Form,2000
danixland contact form,10
Book a Room,100
WordPress Leads,7000
Better Contact Details,1000
Windows Compatibility Fix,1000
Simple Business Directory with Maps,200
MySQL version display,200
Drop Shadow Boxes,10000
Slider,10000
SuperPack,500
TC Custom JavaScript,10000
WP Libre Form,400
FrescoChat Live Chat,400
Simply Excerpts,300
GP Back To Top,3000
Contact Form to Agile,10
Notification Bar Pro,1000
WP Upload Restriction,600
ManyContacts – Responsive Contact Form,400
Shield Security for WordPress,80000
3D Tag Cloud,5000
Simple Responsive Lightbox – Popup Lightbox for WordPress,2000
Modal Window – create popup modal window,8000
BuddyPress Create Group Type,700
Custom css-js-php,7000
Contact Form 7 Database – CFDB7,200
Like Button Rating ♥ LikeBtn,7000
Contact Form 7 Multi-Step,80
"WP-VR-view – Add Photo Sphere, 360 video to WordPress",10000
PWA for WP & AMP,3000
Contact Form – 7 : Hide Success Message,800
Easy Coming Soon,20000
Template List Metabox,1000
Forms for Constant Contact,30
WP-Appbox,6000
Learning Courses,2000
SpeakPipe – Voicemail for Websites,2000
"Social Media – Accounts, Profiles",3000
"Disable updates, Updates manager, Disable automatic updates",2000
Insert Video with Schema.org (IVS),200
Captcha Them All,900
Epeken All Kurir Plugin for Woocommerce Full Version,1000
WP Ultimate Recipe,10000
WP LinkedIn,6000
Snowball,400
Ultimate Maps by Supsystic,400
Weblizar Twitter Tweets,20000
Contact Form 7 reCAPTCHA,10000
Photo Gallery – Image Gallery by Ape,5000
Post Slider by WD – Responsive Post Slider,5000
WooCommerce Currency Switcher by WooBeWoo,100
Ultimate Addons for Beaver Builder – Lite,10000
Cf7  UI slider,1000
WordPress Online Booking and Scheduling Plugin – Bookly,20000
Posts Modified Date,1000
Product Specifications for Woocommerce,1000
Countdown Timer – Widget Countdown,20000
Connections Business Directory Hobbies,40
PhastPress,200
WP GDPR,6000
Zigaform – Form Builder lite,100
Plagiarism Checker By SST,1000
404 Page by SeedProd,2000
"Extra Gutenberg Blocks Options: Blocks Design, Style, Custom CSS",2000
Back To Top Pro,500
Contact Form 7 Serial Numbers,3000
YITH WooCommerce Added to Cart Popup,2000
Prevent Direct Access,500
WP PGP Encrypted Emails,600
Instagram Feed Gallery,1000
PageSpeed Ninja,8000
Social Sharing Buttons – Social Pug,50000
Firebase Push Notification,400
Billink – Achteraf Betalen,300
Core Tweaks WP Setup,1000
PhotoDropper,4000
Team Builder,6000
WP REST Filter,1000
Portfolio Gallery – Responsive Image Gallery,3000
WordPress Button Plugin MaxButtons,100000
Support Ticket,100
VisitorTrack – drive website visitor conversion and online leads,100
Real Estate Manager – Property Listing and Agent Management,2000
Marketo Lite for Contact Form 7,10
wp tell a friend popup form,1000
Email Notification on Login,100
Simple Event Calendar – Responsive Event Calendar for WordPress,1000
ConverseJS,20
DoFollow Case by Case,2000
OnSale Page for WooCommerce,3000
Twitch for WordPress,400
Popups by OptinMonster – Best WordPress Lead Generation Plugin,800000
SMNTCS Bootstrap Modal,100
Contact Form 7 Status,10
Static Block,2000
"MailOptin – Popups, Email Optin Forms & Newsletters for MailChimp, Aweber etc.",8000
YITH WooCommerce Mailchimp,1000
CBX Accounting,300
Livemesh Addons for Elementor,40000
Timeline Express,10000
Machete,2000
BuddyForms Members,700
Address autocomplete Contact Form 7,600
Powie's WHOIS Domain Check,1000
Question Answer,500
Team,8000
Mask Contact Form,100
Pricing Table For WPBakery Page Builder (formely Visual Composer),500
Keep in Touch,20
Woo Swish e-commerce,100
FormLift for Infusionsoft Web Forms,900
Slider by 10Web – Responsive Image Slider,70000
Billmate for WooCommerce,300
Reactions,500
Forms: 3rd-Party File Attachments,60
Counter Number,7000
2FAS – Two Factor Authentication,400
Database Collation Fix,1000
Open RDW kenteken voertuiginformatie,800
Live Chat by Supsystic,800
wp-donate,400
WP Limit Login Attempts,40000
Microthemer Lite,10000
ARI Stream Quiz – WordPress Quizzes Builder,1000
ActiveCampaign for WooCommerce,400
Sprout Clients – CRM and Lead Management,100
MailPoet Checkout Subscription for WooCommerce (Legacy),2000
Client Invoicing by Sprout Invoices – Easy Estimates and Invoices for WordPress,2000
"Chat – Live Chat, Support, Sales",6000
Online Learning Courses,400
Image Widget – gallery & lightbox by RB,900
bbPress Contacts,40
User Blocker,1000
Absolutely Glamorous Custom Admin,40000
Facebook Like Share Follow Buttons,2000
uCare – Support Ticket System & HelpDesk,3000
Refer A Friend for WooCommerce by WPGens,2000
WP Simple Related Posts,400
AWeber Web Form Plugin,10000
PGP Key Generator,90
YITH WooCommerce Waiting List,1000
Fogata BOTS,40
Newsletter Popup,2000
Convertable Contact Form Builder Analytics and Lead Management Dashboard,200
WP Photo Sphere,4000
Read more,800
ACF Photo Gallery Field,9000
Widget Options,70000
WPGlobus – Multilingual Everything!,20000
"WooCommerce PDF Invoices, Packing Slips, Delivery Notes & Shipping Labels",4000
The easy way to create modern infographics and multimedia pages.,5000
WPCargo Track & Trace,3000
Birthday Emails,500
Deluxe Marketing Suite,100
Universal Slider,3000
Staff Directory Plugin: Company Directory,1000
Contact Form 7: Support Deprecated Settings,30
VoguePay plugin for WooCommerce,200
Modal Contact Form,100
Team Members Staff Showcase Plugin – Employee Spotlight,1000
Sagenda – Free booking system,1000
Cool Timeline,10000
"Free WhatsApp, Messenger, Telegram, Email, SMS, Maps, Chat & Call button – Chaty",1000
"WP User – Custom Registration Forms, Login and User Profile",900
WPS Bidouille,3000
Clicface Trombi,900
CoolClock – a Javascript Analog Clock,5000
Tabs,20000
Essential WPBakery Page Builder (formerly Visual Composer) Addons,8000
OpenPGP Form Encryption for WordPress,70
Ninja Forms Signature Contract Add-On,600
WebEmailProtector | email address spam protection,800
Organic Builder Widgets,10000
Chatwing Live Group Chat – HTML5 + Chat Apps,400
Page Builder: Live Composer,40000
Bing Website Translator by Prisna.net,300
WooCommerce Show Attributes,6000
Simple Secure Contact Form,800
TR Post Slider Widget,900
Black Friday and Cyber Monday Deals for WooCommerce,300
WP to LinkedIn Auto Publish,2000
CB Custom Beaver Builder Modules,4000
Maintenance Mode & Under Construction Page,1000
PCo Image Widget Field,500
"Subscribe Form, MailChimp forms, ActiveCampaign and GetResponse",2000
Themify Builder Lite,3000
SEO Image Optimizer,8000
Highcompress Image Compressor,400
Coming Soon Landing Page and Maintenance Mode WordPress Plugin,9000
myPOS Checkout for WooCommerce,600
Files.fm File Upload Form,1000
Rich Text Editor Field for Contact Form 7,500
Posts filter multiselect,100
Real-time Visitor Statistics,5000
Custom Skins Contact Form 7,5000
Web Icons,1000
WP Email Verify,90
Proven Strategies To Automate Your Ecommerce Growth,100000
Security & Firewall – MalCare Security,5000
bbPress Multi Image Uploader,700
Lf Hiker,200
Free Responsive Post/Article Author Section Plugin for WordPress – Ultimate Author Box Lite,600
Woo Stripe Addon,800
CF Geo Plugin,200
Scripts n Styles,30000
Tour & Activity Operator Plugin for TourCMS,100
Auto Clean URL for SEO,1000
Bamboo Tweets,50
Zigaform – Calculator & Cost Estimation Form Builder Lite,500
Zendesk Support for WordPress,5000
Video Slider – Slider Carousel,6000
Formstack Online Forms,2000
Bad Behavior,30000
ITRO Popup Plugin,20000
WooCommerce Wirecard Brazil Official,1000
WooCommerce GDPR (DSGVO) Data Protection,70
WP Clean Up Optimizer: Optimize Database & WordPress,5000
Contact Form 7 Newsletter,4000
WP Page Builder,1000
WP Hide & Security Enhancer,30000
Weather Atlas Widget,5000
breadcrumb simple,700
Disable Comments for Any Post Types (Remove comments),4000
Genesis Ads by Advanced Ads,1000
Geolocation Detector for Gravity Forms,300
Donorbox – Free Recurring Donation Form,3000
List Builder,70
Cognitive Content Analyzer,30
Newsletter Sign-Up,20000
DIVI Enhancer – DIVI Modules and Options,700
ICAAL Contact Form,70
Landing Page Builder – Free Landing Page Templates,4000
Spiffy Calendar,4000
Mega Addons For Elementor,1000
Webcam Video Conference,700
Buckaroo Woocommerce Payments Plugin,400
FuseDesk,100
Cliengo – Free Chatbot for lead generation that boosts Sales. Multi-language: English/Spanish/Portuguese,900
Flyzoo Chat,1000
Somewhere search box,60
Event Timeline – Vertical Timeline,800
Loan Calculator Pro,200
WpDevArt Facebook Like Box Widget,30000
EZP Coming Soon Page,20000
Rublon Two-Factor Authentication,3000
RO Marketing,1000
Ajax Simple Contact Form,80
Data8 Validation,100
Responsive Notification Bar Plugin for WordPress – Apex Notification Bar Lite,700
EU Cookie Law Notice/Banner,200
Ecalypse Rental Starter,100
"Social Feed | Facebook Feed, Instagram Feed, Twitter Feed, Pinterest and VK",4000
WordPress Gallery Plugin – Gallery Bank,20000
WP Business Intelligence Lite,500
azurecurve Toggle Show/Hide,3000
StaffList,200
Invoicing – Invoice & Payments Plugin,2000
WP Post Author,10000
Contact form 7 Google Analytics Tracking by Analytify,200
goftino,50
RPB Chessboard,1000
Free Website Forms Builder by Wishpond,900
Kul Maintenance,700
Admin Custom Login,70000
"ProfileGrid – User Profiles, Groups and Communities",3000
Easy WordPress Subscribe – Optin Hound,2000
Active Directory Integration for Cloud,50
Paystack Easy Digital Downloads Payment Gateway,300
Uix Page Builder – Compatible with Gutenberg,200
Post Pay Counter,1000
WP Easy Pay – With Square,800
dsIDXpress,7000
Export Post Info,400
Contact Form 7 – Kimera CRM Add-on,10
Float menu – awesome floating side menu,8000
All Meta Tags,20000
LiveChat – WP live chat plugin for WordPress,20000
Gravity Forms styler for Elementor Page Builder,1000
WordPress Page Builder by MotoPress,10000
Shoutcast Icecast HTML5 Radio Player,5000
Contact Page with Click to Call by MightyCall,100
Colorbox Panels,2000
Easy Newsletter Signups,300
Genesis Slide-in Widget,100
Responsive Styled Google Maps Simplified,1000
DigitSix Simple Contact Form,400
WordPress Auction Plugin,1000
Mascaras CF7,200
Pie Register – Custom Registration Form and User Login WordPress Plugin,8000
eCommerce WD – eCommerce shopping cart plugin,1000
WPD Beaver Popups,900
Simple add pages or posts,3000
Rara One Click Demo Import,10000
Slider Carousel – Responsive Image Slider,10000
Booster for WooCommerce,50000
"Popups, Welcome Bar, Optins and Lead Generation Plugin – Icegram",40000
font-resizer,6000
Woo Sensei Shortcodes,200
YITH WooCommerce One-Click Checkout,800
WP Discourse,1000
User Post Gallery – UPG,1000
Ads for WP – Advanced Ads & Adsense Solution for WP & AMP,700
Contact Form 7 Multi-step Forms (Add-on for CF7),50
FooSales,600
Magic Password,400
Custom Instagram Widget,600
WD Google Maps – Google Maps builder Plugin,20000
Clear Cache for Me,10000
Facebook Pixel for WP,3000
Mastodon Autopost,300
EWWW Image Optimizer Cloud,6000
Secure Copy Content Protection,90
WP Mapbox GL JS Maps,700
WordPress Mobile Pack – Mobile Plugin for Progressive Web Apps & Hybrid Mobile Apps,10000
Contact Us Page,1000
Яндекс Переводчик,100
Newsletter Manager,9000
Slidely Slideshows Embed,1000
bulk quote for woocommerce on contact form 7,10
Aparat Responsive,800
Live Forms – Visual Form Builder,1000
TinyMCE Templates,30000
Floating Button WP,60
WooCommerce Product Table Lite,400
WP Admin Protection (by SiteGuarding.com),800
AFFILIATE MLM / PARTY PLAN,300
Frontend Responsive Test,50
Image Credits nofollow,400
Contact Form 7 Textarea Wordcount,500
AffiliateWP MailChimp Add-On,200
Browsing History,30
GDPR Cookie Consent by Supsystic,400
Meta SEO BenignSource,700
Ebook Store,1000
Post Connector,300
Unlimited Background Slider,1000
Post Affiliate Pro,700
MDJM Event Management,200
"Google Plus Badge – Profile, Account",900
Woocommerce Quick Buy,9000
Contact Form 7 IE DatePicker and Number Spinner Fix,5000
Zero BS WordPress CRM,1000
WPcalc – create any online calculators,800
Server Status For Minecraft PC & PE (MCServerStatus),300
ONTRAPORT to Wishlist Integration,20
QR Code Authenticator (Clef like),500
Social Media Gallery,3000
Cache Cleaner – Scheduled,300
Gravity Forms Infusionsoft Feed,30
InPost for WooCommerce,700
Maje WooCommerce No PO Boxes,400
Ultimate Gallery Master,4000
"Gratisfaction- Loyalty, Rewards , Referral and Giveaway Program for WooCommerce",1000
Simple CSV/XLS Exporter,4000
Car Demon,1000
Eazy Contact Form,10
Jigsaw Planet,300
Woocommerce Payment Gateway per Product,2000
NextScripts: Social Networks Auto-Poster,100000
YouTube Gallery – Best YouTube Video Gallery for WordPress,7000
AffiliateWP – Affiliate Area Tabs,3000
Sagenda – Free booking calendar,500
Netgsm,100
Key4ce osTicket Bridge,400
WP Graphic Captcha Protection (by SiteGuarding.com),900
Booking Ultra Pro Appointments Booking Calendar Plugin,4000
WD Spider Facebook,6000
NEO Bootstrap Carousel,200
Wow Skype Buttons,600
Lead Champion discover,100
Coming Soon Page,5000
DD Contact Form,300
Tiny Contact Form,1000
WP Email Delivery,300
HashBar – WordPress Notification Bar,1000
WP Mail Booster: #1 WordPress SMTP Plugin,500
DashPress,50
CarDealerPress,100
Tweet Old Custom Post,300
Schema App Structured Data,10000
Contact Form 7 Tag field,200
bbPress Messages,1000
GS Pinterest Portfolio,1000
Spam Master,1000
Email Marketing by EmailOctopus,400
Facebook Like Box,2000
Responsive Slider – Sangar Slider,1000
Contact Form 7 Confirm Email Field,4000
Boat Dealer,70
Bigboss all in one facebook social widget,10
Comment Form Validation,500
PopupAlly,10000
WordPress Custom Global Variable,200
Classic Facebook Feeds,300
Businessx Extensions,9000
Mailify,100
Easy Customizable Text Widget,2000
Gallery For Instagram,2000
Sellsy,100
PlusCaptcha,400
WP-MP-Contact,10
Easy Accordion,2000
2FAS Light – Google Authenticator,1000
Scroll Triggered Box / Slide Box,200
Team,1000
Testimonial,4000
WP Issues CRM,10
Subscription Form for Feedblitz,200
Google Analytics,600
Recent Related Post And Page,100
JetWidgets For Elementor,1000
Social Share Buttons by Supsystic,10000
Product Catalog,900
Sliced Invoices & Contact Form 7,200
Securimage-WP,2000
Transdirect Shipping Plugin for Woocommerce,200
Coub,100
Save Abandoned Carts – WooCommerce Live Checkout Field Capture,1000
Single Sign On for Windows,100
Contact Form 7 4Dem.it Extension,90
Video Central for WordPress,900
RSS with Images,1000
Responsive Vertical Icon Menu,200
LiveCall – Free Callback widget,1000
PropellerAds Official Plugin,7000
WooCommerce Pakettikauppa,70
Contact Form 7 Táve Integration,500
IM Facebook Widget,1000
Show Featured Image Size in Admin TopBar,100
"Floating News Headline – Coupons, Offers",100
Classified Maker,100
Sendmachine for WordPress,20
Transact,10
Resume / CV,200
Hide My WP – WordPress Security Plugin,10000
WordPress Reaction Buttons and Feedback Emoji Plugin – Emojics,200
Woo whatsapp order,1000
Livemesh SiteOrigin Widgets,40000
WordLift – AI powered SEO,500
Mailpoet – Contact Form 7 Integration,7000
Simple Contact Widget,200
DPO for Woocommerce,300
WP Admin Graphic Password (by SiteGuarding.com),300
WooCommerce Payment Gateway – Inspire,1000
WP Total Hacks,50000
Whatsapp Share Button – Share on whatsapp,700
SagePay Server Gateway for WooCommerce,300
Storefront Homepage Extra Sections,2000
Coming Soon Pages for WordPress – Coming Soon Booster,1000
WP Mautic,8000
Adsense for AMP,800
Judge.me Product Reviews for WooCommerce,400
Email Tracker,400
Food Truck Locations & Times,100
Vertical scroll image slideshow gallery,800
Simple Content Templates,3000
Seo Crawlytics Data Export & Delete,50
FaceBook Feed,10000
Coming Soon by Supsystic,6000
Custom Instagram Feed,4000
Job Board Manager – Locations,100
Artful.ly Widget,100
WordPress Posted Display,300
Portfolio,900
"MembershipWorks – Membership, Events & Directory",2000
PTA Shortcodes,500
Microblog Poster – Auto Publish on Social Media,9000
Coming Soon Master,300
Automatic Alternative Text,300
YITH Pre-Order for WooCommerce,5000
Theme Blvd Widget Pack,8000
AdSense Invalid Click Protector (AICP),8000
Xllentech English Islamic Calendar,50
WooCommerce Product Barcode Label Printing – Woolabel,200
WP Show Stats,2000
ReachEdge,2000
Contact Form Made Easy,10
TemplatesNext OnePager,3000
IFTTT Bridge for WordPress,1000
Conditional Payments for WooCommerce,100
WP Real Estate,400
Import emails to Gmail Contacts,10
Creative Image Slider – The Best WordPress Image Slider and Portfolio plugin,2000
WooCommerce HTML5 Video,2000
Leadfox for WordPress,200
Klarna Checkout for WooCommerce,10000
Auto SEO,1000
Show Theme in Footer,80
ClickSend Contact Form 7,30
Vanilla Bean – Custom Login,100
Gallery – Responsive Photo and Video Gallery by Limb for WordPress,1000
Bubble Menu – awesome custom circle menu,600
WordPress Default Widget Extension,100
Training – Courses,100
Team,300
WeChat Payments for WooCommerce,1000
"Popup – MailChimp, GetResponse and ActiveCampaign Intergrations",300
"Easy Popup – Welcome Popup, Email Popup, Exit Popup",300
Facebook Like Box Responsive Slider,500
Blog Designer,30000
Post and Page Builder by BoldGrid – Visual Drag and Drop Editor,10000
Lingotek Translation,20000
